Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,2,1,8,7,6,8
2,0,3,6,5,10,9,34,23
3,7,19,15,14,20,19,29,108
4,0,1,0,0,0,4,13,24
5,0,1,0,3,8,10,2,7
6,1,5,5,13,18,16,62,14
7,2,7,5,9,14,19,39,30
8,1,1,2,5,13,9,40,21
9,0,0,4,2,4,8,12,29
10,2,4,2,3,5,9,38,18
11,2,8,37,13,6,19,40,23
12,1,5,14,3,6,3,18,4
13,3,6,6,3,10,7,17,7
14,0,0,5,0,1,7,18,29
15,1,0,5,3,4,3,14,8
16,0,0,0,4,2,5,32,25
17,0,4,0,5,5,2,20,22
18,3,11,15,15,13,28,22,24
19,0,2,2,3,2,10,4,10
20,0,2,0,2,3,10,15,7
21,0,2,8,5,6,3,25,10
22,1,1,2,7,1,7,46,24
23,2,3,6,12,5,11,28,29
24,1,11,7,1,1,16,34,23
25,0,8,16,17,1,2,9,10
26,1,6,3,5,13,8,27,20
27,3,4,4,6,8,3,13,10
28,2,6,6,8,13,14,21,32
29,2,5,8,6,10,24,34,31
30,3,3,1,3,5,3,27,8
31,0,2,5,1,2,2,23,14
32,1,6,4,7,4,7,50,34
33,1,4,5,2,0,6,12,15
34,0,0,0,1,3,3,20,20
35,1,5,16,13,5,9,27,31
36,0,2,1,7,24,14,30,26
37,0,3,8,3,5,7,22,11
38,0,1,3,1,3,4,14,9
39,2,14,12,9,6,14,17,17
40,2,8,8,6,8,10,35,19
