Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,0,0,0,2,5,16
2,0,0,0,0,0,2,20,10
3,0,0,0,0,0,19,97,9
4,0,0,0,0,0,2,17,16
5,0,0,0,0,0,2,0,1
6,0,0,0,0,0,0,54,39
7,0,0,0,0,0,7,18,8
8,0,0,0,0,0,3,68,23
9,0,0,0,0,0,2,16,12
10,0,0,0,0,0,3,13,9
11,0,0,0,0,0,3,35,67
12,0,0,0,0,0,1,2,0
13,0,0,0,0,0,1,3,11
14,0,0,0,0,0,2,4,11
15,0,0,0,0,0,1,9,12
16,0,0,0,0,0,0,10,26
17,0,0,0,0,0,2,7,20
18,0,0,0,0,0,4,19,13
19,0,0,0,0,0,2,6,5
20,0,0,0,0,0,0,4,11
21,0,0,0,0,0,2,10,7
22,0,0,0,0,0,2,47,21
23,0,0,0,0,0,1,19,60
24,0,0,0,0,0,2,26,9
25,0,0,0,0,0,1,2,0
26,0,0,0,0,0,2,15,9
27,0,0,0,0,0,0,5,4
28,0,0,0,0,0,1,11,10
29,0,0,0,0,0,5,21,16
30,0,0,0,0,0,3,7,6
31,0,0,0,0,0,0,4,8
32,0,0,0,0,0,2,39,95
33,0,0,0,0,0,0,4,1
34,0,0,0,0,0,1,13,20
35,0,0,0,0,0,4,31,53
36,0,0,0,0,0,0,4,10
37,0,0,0,0,0,0,8,5
38,0,0,0,0,0,0,4,12
39,0,0,0,0,0,4,6,3
40,0,0,0,0,0,4,16,9
