Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0.0,0.0,0.0,0.0,0.178386051308928,1.5538730527278344,4.3330926388746525,5.187953184135378
2,0.0,0.0,0.0,0.0,0.3213217200050255,0.8142997248534531,2.0741308806795624,3.4706304619642045
3,0.0,0.0,0.0,0.0,0.44252805431171693,3.3207735285961117,5.356113305049406,10.032256044435186
4,0.0,0.0,0.0,0.0,0.5026423155785519,3.731265987681679,3.754228236583276,12.008349307558072
5,0.0,0.0,0.0,0.0,0.04060813399868782,0.45866531192006216,1.4564064352546415,1.970574739100715
6,0.0,0.0,0.0,0.0,0.1938334487860177,3.9385287597133245,5.767228494875089,13.091869101405065
7,0.0,0.0,0.0,0.0,0.015146073921461242,3.5016893203376807,2.6838544633093755,2.585513200510652
8,0.0,0.0,0.0,0.0,0.16703470678296622,2.3171029557689886,5.236268275576171,5.324573158157551
9,0.0,0.0,0.0,0.0,0.0,0.351712680293649,1.4937489157297763,1.1685282480712036
10,0.0,0.0,0.0,0.0,0.0,0.5787554596496933,1.4700141937798885,2.6375824732893522
11,0.0,0.0,0.0,0.0,0.0,0.32688379713520754,0.6847753355464644,0.7258814546071443
12,0.0,0.0,0.0,0.0,0.046470156825225054,1.0723872549956945,1.9058399218482742,1.0455433964823901
13,0.0,0.0,0.0,0.0,0.1920335104482498,2.5453782925588433,5.7902185679718405,10.485691585574125
14,0.0,0.0,0.0,0.0,0.3743861615160934,1.699045264700967,2.1726321157637645,6.323532187358473
15,0.0,0.0,0.0,0.0,0.08128321588398404,1.7622264691006861,3.01852850444371,8.55364288938661
16,0.0,0.0,0.0,0.0,0.40181584121068814,3.676322030227178,8.813763670631815,10.552316289936753
17,0.0,0.0,0.0,0.0,0.22644153931443473,2.807959200644482,4.295378733014018,7.240243582708525
18,0.0,0.0,0.0,0.0,0.8576122459393192,6.550362551402406,10.955928648985934,23.59342532147597
19,0.0,0.0,0.0,0.0,0.17448677528919843,2.2581801123077896,5.989663148312599,5.623833370798463
20,0.0,0.0,0.0,0.0,0.14828659049064244,2.236442254026447,2.76713478869623,4.468769553081391
21,0.0,0.0,0.0,0.0,0.11611094391759569,0.6022035844537039,0.285963932013566,3.4867105522788036
22,0.0,0.0,0.0,0.0,0.20277142334124557,1.5556518458730382,5.130298441217352,8.090434599809896
23,0.0,0.0,0.0,0.0,0.12627097088599934,1.5451309860534728,4.241431369985467,10.843679675187149
24,0.0,0.0,0.0,0.0,0.2694915274328146,0.41245352579413797,0.5296753684518649,0.6706915350703171
25,0.0,0.0,0.0,0.0,0.0,0.8126125930891113,0.8732921533393301,0.9376706255515636
26,0.0,0.0,0.0,0.0,0.7226691881771429,3.219482054724307,2.0493769577250447,3.083327610632453
27,0.0,0.0,0.0,0.0,0.4890606535218413,0.9797376274002976,1.216737835524784,2.1119644639859425
28,0.0,0.0,0.0,0.0,0.0,3.065616160147979,1.9350022578197301,1.9532267710976678
29,0.0,0.0,0.0,0.0,0.15848472475245703,0.6836568722219489,1.311496708398853,1.595295422660341
30,0.0,0.0,0.0,0.0,0.0,1.166719438635731,1.8293047746901447,3.5345573024903145
31,0.0,0.0,0.0,0.0,0.11431328167113726,1.8083506442194002,2.2294607964452977,3.3318221677390767
32,0.0,0.0,0.0,0.0,0.016567501678607086,2.3668949121778238,2.6291290791184703,5.498574381127451
33,0.0,0.0,0.0,0.0,0.0,1.9053781167427137,2.1927908412180837,4.384323198678851
34,0.0,0.0,0.0,0.0,0.21701519447081685,2.6586927500925452,6.310788688837396,15.85690240302898
35,0.0,0.0,0.0,0.0,0.08867629977196849,3.895949147037574,9.7758587592476,15.10728916243845
36,0.0,0.0,0.0,0.0,0.7566648915032644,0.9328134454242815,2.2659893960341613,2.934105743411472
37,0.0,0.0,0.0,0.0,0.15079575051276006,1.847039316619337,1.6338678568232112,3.9072584758561377
38,0.0,0.0,0.0,0.0,0.12452724081353306,2.5471469351193465,4.09042934367524,8.838724274122255
39,0.0,0.0,0.0,0.0,0.5617449699119759,4.094549721875814,3.762909960568712,4.562666033259374
40,0.0,0.0,0.0,0.0,0.17298451406585244,2.1972359379366138,5.920951706026317,9.323874003667498
