Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0.0,0.0,0.0,0.0,0.0,1.5729200491266302,10.068279071615303,16.08145688668069
2,0.0,0.0,0.0,0.0,0.0,1.61715751391346,17.814998514054064,9.504438388563992
3,0.0,0.0,0.0,0.0,0.0,11.770824600775962,59.27957440316176,15.472462430207012
4,0.0,0.0,0.0,0.0,0.0,1.4590394052433904,11.283545036867825,12.5972391436236
5,0.0,0.0,0.0,0.0,0.0,1.396055885767945,5.654414548239478,4.524115419212114
6,0.0,0.0,0.0,0.0,0.0,1.6819855670108912,43.02475020062915,37.39191196116675
7,0.0,0.0,0.0,0.0,0.0,3.5482971969476345,11.256136130351305,5.149447453799393
8,0.0,0.0,0.0,0.0,0.0,2.152512515481545,42.12051161451897,16.37956685906613
9,0.0,0.0,0.0,0.0,0.0,1.4067090439670185,9.238582739469413,12.39263924299809
10,0.0,0.0,0.0,0.0,0.0,1.533075422090223,7.742233286595895,5.4748949032164855
11,0.0,0.0,0.0,0.0,0.0,2.48787611114136,27.625417562698445,56.10973027493706
12,0.0,0.0,0.0,0.0,0.0,1.2395142421468297,3.6828915245681157,2.0525123511235455
13,0.0,0.0,0.0,0.0,0.0,0.9456659324479688,6.0648110314606525,11.167460667666727
14,0.0,0.0,0.0,0.0,0.0,1.9262173776898082,9.70642969414774,12.737762288399722
15,0.0,0.0,0.0,0.0,0.0,2.6431537770802565,17.810164529625933,24.035846221203897
16,0.0,0.0,0.0,0.0,0.0,1.9138055385073902,27.06083783035894,32.35903212041878
17,0.0,0.0,0.0,0.0,0.0,3.1048831445550684,12.820142693087517,19.317225533815236
18,0.0,0.0,0.0,0.0,0.0,2.863464659532958,23.178820791725336,17.432705032532446
19,0.0,0.0,0.0,0.0,0.0,1.3387083066348482,12.326390017521252,12.478670786552874
20,0.0,0.0,0.0,0.0,0.0,1.3076434418215575,11.291320870014028,13.737032438772589
21,0.0,0.0,0.0,0.0,0.0,2.0562151344035433,9.751020525432454,8.230295275712827
22,0.0,0.0,0.0,0.0,0.0,2.0545111395640268,30.54361890725112,20.207866508090074
23,0.0,0.0,0.0,0.0,0.0,1.282933762690366,23.47409647977771,41.38740587227706
24,0.0,0.0,0.0,0.0,0.0,2.114790751805368,18.236572645263163,7.389062774473824
25,0.0,0.0,0.0,0.0,0.0,1.3380771252646053,5.2973027132554265,2.4349145834421067
26,0.0,0.0,0.0,0.0,0.0,1.1678287894881376,11.187507573382993,6.364244671681992
27,0.0,0.0,0.0,0.0,0.0,1.2179484958158886,6.595459225364403,3.768604728945972
28,0.0,0.0,0.0,0.0,0.0,1.1186594134145393,8.723329908872941,5.825553931486258
29,0.0,0.0,0.0,0.0,0.0,3.5399280825879464,18.081805646673974,14.42568003118518
30,0.0,0.0,0.0,0.0,0.0,1.9575597201927921,7.466277376990975,6.419910461042838
31,0.0,0.0,0.0,0.0,0.0,0.21485160484324617,4.122719584969359,6.649304247727892
32,0.0,0.0,0.0,0.0,0.0,1.9185040656344154,31.963192808332668,60.99447269958739
33,0.0,0.0,0.0,0.0,0.0,0.3983576559460201,4.217752635972059,3.3800232891162434
34,0.0,0.0,0.0,0.0,0.0,2.299647765167888,26.567381679631584,28.426666061289744
35,0.0,0.0,0.0,0.0,0.0,4.872497525122435,31.354988702092847,49.06781135635147
36,0.0,0.0,0.0,0.0,0.0,0.7471145440120235,6.872054828731191,8.279298171720361
37,0.0,0.0,0.0,0.0,0.0,1.282276351497447,8.62025594601914,4.976764496164028
38,0.0,0.0,0.0,0.0,0.0,1.7541108281800557,11.50425601058757,16.63453607896202
39,0.0,0.0,0.0,0.0,0.0,3.401386947140605,13.12843849203438,10.584549771767263
40,0.0,0.0,0.0,0.0,0.0,3.3358650750985817,15.14369391378096,9.742524905578557
